TireProductionID,timestamp,batch_id,recipe_id,press_id,machine_id,shift,ambient_temp_c,ambient_humidity_pct,compound_batch_age_hr,mixer_energy_kwh,cure_temp_avg,cure_temp_std,cure_pressure_avg,cure_time_sec,tread_thickness_mm,sidewall_thickness_mm,tire_weight_kg,uniformity_rfv,uniformity_lfv,runout_mm,balance_g,visual_score,defect_flag,defect_type,defect_probability_true
TIRE_0000043,2025-05-19 6:35,BATCH_00278,RCP_024,PRESS_07,MACH_08,Evening Shift,18.19,60.01,13.44,126.94,176.9,2.49,20.45,1095.0,7.61,5.22,11.39,9.84,6.98,0.48,20.03,4,0,OK,0.025612382316467085
TIRE_0000044,2025-02-22 3:42,BATCH_00034,RCP_017,PRESS_03,MACH_03,Night Shift,25.03,56.66,22.92,110.12,168.69,2.0,19.28,939.0,8.35,4.3,12.07,7.29,8.27,0.84,26.18,4,0,OK,0.2377325289408
TIRE_0000045,2025-02-05 10:29,BATCH_00133,RCP_003,PRESS_03,MACH_01,Evening Shift,30.11,47.62,29.05,121.81,176.19,2.54,21.82,806.0,8.29,5.61,12.13,9.41,10.06,1.07,39.57,4,1,Separation,0.9817516879378942
TIRE_0000046,2025-02-28 18:15,BATCH_00106,RCP_024,PRESS_06,MACH_04,Day Shift,22.63,52.98,0.0,138.98,175.47,1.61,16.79,924.0,7.72,5.23,12.66,11.27,9.38,1.11,32.12,4,0,OK,0.20401536354795066
TIRE_0000049,2025-05-25 22:36,BATCH_00335,RCP_014,PRESS_10,MACH_07,Day Shift,14.33,65.37,27.96,117.33,175.49,1.45,19.88,1153.0,7.84,5.04,11.8,10.87,6.57,0.79,24.34,3,0,OK,0.08310730460160895
TIRE_0000051,2025-03-13 17:05,BATCH_00271,RCP_009,PRESS_08,MACH_03,Day Shift,26.13,58.12,19.24,110.62,176.01,2.36,16.32,1088.0,7.85,4.58,12.31,11.31,7.85,0.81,28.98,4,0,OK,0.03344130736153213
TIRE_0000052,2025-01-26 19:13,BATCH_00197,RCP_011,PRESS_01,MACH_01,Evening Shift,27.6,32.08,16.92,112.55,167.73,1.82,16.48,1058.0,8.7,5.25,11.73,12.21,10.35,1.21,13.41,5,0,OK,0.17421592636291766
TIRE_0000053,2025-06-05 19:52,BATCH_00397,RCP_002,PRESS_07,MACH_03,Day Shift,20.22,64.22,24.24,111.14,184.02,2.61,16.08,1076.0,8.09,4.62,12.0,9.36,10.6,0.82,20.59,5,0,OK,0.11563659849750431
TIRE_0000055,2025-05-26 16:24,BATCH_00207,RCP_023,PRESS_07,MACH_08,Evening Shift,15.67,48.23,13.77,123.42,173.88,2.07,18.13,1077.0,7.76,5.36,11.32,10.55,10.37,1.0,5.6,5,0,OK,0.03928917636274692
TIRE_0000056,2025-04-05 18:55,BATCH_00211,RCP_008,PRESS_09,MACH_05,Evening Shift,22.88,44.99,26.35,137.56,175.53,2.25,15.25,939.0,7.91,5.45,11.44,7.54,7.64,0.8,18.6,5,0,OK,0.12884245842670483
TIRE_0000057,2025-03-05 18:46,BATCH_00212,RCP_022,PRESS_08,MACH_07,Night Shift,31.77,62.45,9.47,131.37,171.17,2.69,20.52,925.0,7.96,5.42,11.66,9.53,5.65,0.87,27.71,3,0,OK,0.018253245067652413
TIRE_0000059,2025-01-22 2:16,BATCH_00174,RCP_022,PRESS_03,MACH_08,Day Shift,25.17,44.31,18.07,113.66,171.01,2.54,18.59,987.0,8.34,4.8,11.61,9.97,11.1,1.34,6.06,5,0,OK,0.2282368964989077
TIRE_0000060,2025-04-07 2:27,BATCH_00349,RCP_006,PRESS_02,MACH_05,Night Shift,20.44,70.97,31.68,123.14,173.23,1.99,18.45,875.0,7.26,5.4,10.93,15.76,5.99,0.72,27.51,5,0,OK,0.07210719558400405
TIRE_0000061,2025-01-28 4:08,BATCH_00260,RCP_018,PRESS_11,MACH_08,Night Shift,26.06,45.2,9.82,126.64,174.24,1.62,17.63,959.0,7.55,5.48,11.11,6.51,9.13,0.62,13.69,5,0,OK,0.16900534824495567
TIRE_0000062,2025-05-23 3:18,BATCH_00083,RCP_005,PRESS_08,MACH_05,Night Shift,17.78,65.53,4.5,117.71,173.8,2.83,19.31,749.0,7.13,5.69,11.06,9.0,11.0,1.15,18.89,4,0,OK,0.08481065826145862
TIRE_0000064,2025-05-12 7:00,BATCH_00261,RCP_024,PRESS_03,MACH_02,Evening Shift,18.56,69.8,37.66,98.93,174.35,0.92,19.61,1025.0,9.2,5.07,11.67,9.19,8.8,0.69,13.79,4,0,OK,0.1348163250826746
TIRE_0000066,2025-05-29 0:44,BATCH_00029,RCP_017,PRESS_01,MACH_03,Evening Shift,18.15,74.87,9.43,120.05,168.01,2.64,17.28,970.0,7.71,4.97,11.75,7.8,7.87,0.83,25.62,4,0,OK,0.14121046704238713
TIRE_0000067,2025-03-30 0:03,BATCH_00304,RCP_027,PRESS_04,MACH_07,Day Shift,24.85,70.6,18.05,121.32,176.19,2.06,16.76,954.0,8.06,5.45,11.76,10.43,8.85,0.86,23.0,3,0,OK,0.05436506932612649
TIRE_0000068,2025-02-19 0:45,BATCH_00030,RCP_014,PRESS_04,MACH_07,Night Shift,31.5,49.47,20.7,106.82,176.49,1.66,19.17,932.0,7.28,4.97,11.26,10.47,8.42,1.04,14.57,5,0,OK,0.24270031066349407
TIRE_0000069,2025-04-12 0:04,BATCH_00324,RCP_028,PRESS_04,MACH_03,Day Shift,17.79,50.76,14.43,102.83,170.34,2.21,17.01,1059.0,7.32,5.08,11.76,9.26,7.16,1.13,16.43,5,0,OK,0.1960318776066675
TIRE_0000071,2025-04-05 19:17,BATCH_00075,RCP_021,PRESS_05,MACH_03,Night Shift,21.83,72.23,13.1,124.48,164.91,1.88,18.17,913.0,7.9,4.97,10.61,7.39,9.28,0.25,11.44,3,0,OK,0.23547974597540539
TIRE_0000074,2025-05-05 15:00,BATCH_00376,RCP_003,PRESS_10,MACH_01,Evening Shift,15.22,68.67,15.21,105.39,174.17,2.2,20.35,943.0,8.25,5.18,11.35,6.68,7.01,0.49,3.26,3,0,OK,0.22475856410263573
TIRE_0000075,2025-02-07 7:35,BATCH_00123,RCP_020,PRESS_09,MACH_07,Evening Shift,27.69,25.36,0.0,123.92,173.46,2.14,19.2,976.0,8.63,5.19,11.64,12.04,6.37,1.62,23.83,5,0,OK,0.15349599491466043
TIRE_0000076,2025-01-20 9:50,BATCH_00397,RCP_002,PRESS_06,MACH_06,Day Shift,27.65,44.69,17.62,99.92,180.11,2.61,19.75,996.0,7.55,5.17,11.71,10.66,6.08,0.55,8.81,5,0,OK,0.23124981640554804
TIRE_0000077,2025-06-25 18:51,BATCH_00356,RCP_030,PRESS_03,MACH_03,Night Shift,23.12,63.72,20.66,122.46,173.53,1.48,18.31,1074.0,7.98,5.54,11.98,8.83,8.42,0.76,29.16,4,0,OK,0.031238200492460677
TIRE_0000078,2025-04-01 10:56,BATCH_00106,RCP_024,PRESS_02,MACH_01,Day Shift,22.08,51.88,2.14,103.13,179.88,1.36,16.58,1052.0,7.87,5.71,11.62,10.34,5.41,1.1,16.96,5,0,OK,0.05703588698059485
TIRE_0000079,2025-02-19 2:48,BATCH_00202,RCP_028,PRESS_07,MACH_06,Day Shift,26.29,54.26,19.13,101.62,175.65,3.03,18.65,993.0,8.43,5.46,11.98,11.2,8.24,0.74,5.05,4,0,OK,0.020854549338529135
TIRE_0000081,2025-03-27 13:30,BATCH_00325,RCP_030,PRESS_12,MACH_05,Evening Shift,20.46,50.97,31.36,121.62,168.46,3.1,18.0,914.0,7.25,5.63,11.1,13.41,8.59,1.32,23.84,5,0,OK,0.08807927938318344
TIRE_0000082,2025-02-20 5:09,BATCH_00193,RCP_019,PRESS_04,MACH_03,Night Shift,24.04,33.51,37.74,104.84,176.75,2.08,18.08,965.0,7.77,4.85,11.55,7.29,8.47,1.44,28.3,5,0,OK,0.10328254952547568
TIRE_0000083,2025-04-28 11:46,BATCH_00041,RCP_005,PRESS_07,MACH_01,Evening Shift,18.48,60.0,18.81,103.98,171.31,2.48,19.21,921.0,8.36,5.49,12.02,10.21,10.53,0.92,24.61,4,0,OK,0.07512376762573501
TIRE_0000085,2025-01-22 15:24,BATCH_00066,RCP_010,PRESS_02,MACH_07,Night Shift,26.1,67.46,13.07,112.31,179.96,2.46,16.62,813.0,7.43,5.54,11.31,9.38,6.82,0.79,21.38,4,0,OK,0.20889700219646304
TIRE_0000086,2025-06-05 13:23,BATCH_00012,RCP_030,PRESS_06,MACH_07,Evening Shift,16.75,58.57,26.54,121.03,174.19,1.54,20.97,870.0,8.76,5.29,11.99,9.2,7.1,0.79,7.78,4,1,UnderCure,0.8356207984064614
TIRE_0000087,2025-06-28 16:06,BATCH_00019,RCP_026,PRESS_08,MACH_02,Night Shift,22.21,61.19,18.18,103.95,172.12,1.27,18.31,971.0,7.35,5.27,11.08,11.89,7.83,1.23,14.68,4,0,OK,0.07742428232497138
TIRE_0000088,2025-01-03 20:27,BATCH_00003,RCP_020,PRESS_03,MACH_02,Day Shift,19.23,43.96,7.59,97.54,181.67,1.72,15.57,930.0,7.78,5.04,11.53,10.16,8.05,0.79,10.7,5,0,OK,0.14024705995797965
TIRE_0000089,2025-04-09 1:23,BATCH_00309,RCP_010,PRESS_08,MACH_02,Day Shift,21.75,69.58,17.49,133.69,166.28,2.27,19.06,900.0,7.81,5.12,10.54,8.89,9.88,0.67,11.99,5,0,OK,0.04382181399394303
TIRE_0000091,2025-02-27 21:46,BATCH_00196,RCP_003,PRESS_07,MACH_03,Night Shift,27.49,49.65,21.62,99.76,168.92,1.43,18.11,937.0,8.09,4.71,11.32,10.33,8.32,0.69,20.92,5,0,OK,0.2025272753809695
TIRE_0000092,2025-03-20 23:14,BATCH_00040,RCP_019,PRESS_09,MACH_07,Evening Shift,23.67,60.4,25.13,127.52,174.46,2.7,17.34,955.0,8.18,4.91,11.52,10.11,4.68,0.81,18.22,4,0,OK,0.027892154483145
TIRE_0000093,2025-01-19 4:04,BATCH_00388,RCP_025,PRESS_10,MACH_06,Day Shift,23.16,55.82,0.35,126.11,177.57,1.98,19.28,872.0,8.94,5.1,12.13,4.96,9.89,1.08,16.11,5,0,OK,0.24685286478412416
TIRE_0000094,2025-02-09 17:36,BATCH_00200,RCP_029,PRESS_02,MACH_07,Night Shift,26.34,50.67,17.29,104.48,174.06,2.13,17.47,940.0,9.71,5.29,11.84,12.58,4.86,0.96,37.16,4,0,OK,0.19533874463119777
TIRE_0000095,2025-05-28 16:30,BATCH_00174,RCP_022,PRESS_04,MACH_05,Night Shift,17.53,72.92,24.07,122.79,172.04,1.78,19.19,795.0,7.62,5.59,11.42,6.76,11.46,0.76,20.2,4,0,OK,0.057691763568201375
TIRE_0000096,2025-03-05 4:07,BATCH_00075,RCP_021,PRESS_12,MACH_03,Day Shift,28.63,59.75,14.56,119.07,176.06,1.99,19.18,1036.0,8.25,5.81,11.4,12.98,8.67,1.77,11.95,4,0,OK,0.011325308109664575
TIRE_0000097,2025-04-13 12:43,BATCH_00008,RCP_021,PRESS_02,MACH_06,Day Shift,18.06,60.48,17.73,124.52,176.64,2.94,17.92,998.0,7.07,4.94,11.66,7.01,10.15,1.15,14.35,4,0,OK,0.2057107428291602
TIRE_0000099,2025-01-01 6:18,BATCH_00376,RCP_003,PRESS_01,MACH_03,Evening Shift,20.92,45.52,48.24,109.13,174.11,2.08,17.11,1033.0,8.21,5.39,10.77,13.35,5.85,1.34,29.92,5,0,OK,0.17964576252342812
TIRE_0000101,2025-02-18 23:28,BATCH_00299,RCP_009,PRESS_02,MACH_01,Evening Shift,26.12,35.42,20.5,120.37,172.38,1.27,18.16,891.0,8.77,5.14,12.3,8.01,7.7,0.79,4.43,5,0,OK,0.18496172032983696
TIRE_0000102,2025-04-28 12:30,BATCH_00256,RCP_005,PRESS_04,MACH_05,Evening Shift,13.84,66.76,21.78,149.32,177.84,2.53,16.25,982.0,6.88,5.22,10.7,10.29,6.34,0.97,19.76,5,0,OK,0.195104883204627
TIRE_0000103,2025-06-07 16:21,BATCH_00201,RCP_011,PRESS_04,MACH_01,Day Shift,16.05,63.73,10.5,148.3,178.02,2.38,18.5,1022.0,8.19,5.31,11.54,10.92,8.41,0.9,14.92,5,0,OK,0.027770716416181687
TIRE_0000105,2025-03-25 13:48,BATCH_00301,RCP_011,PRESS_04,MACH_07,Night Shift,23.49,26.12,30.43,118.39,171.83,1.78,17.89,1065.0,8.8,5.29,11.95,11.37,5.83,1.06,14.49,5,0,OK,0.09603177485062542
TIRE_0000106,2025-03-26 10:43,BATCH_00310,RCP_004,PRESS_09,MACH_01,Day Shift,24.77,49.81,26.01,121.14,178.95,2.33,20.01,805.0,7.8,5.54,12.14,10.46,7.51,1.06,26.67,4,0,OK,0.037808574286031134
TIRE_0000108,2025-05-08 6:23,BATCH_00296,RCP_016,PRESS_03,MACH_05,Evening Shift,16.06,54.01,18.7,111.42,170.61,1.82,18.76,1157.0,8.45,5.61,11.99,13.24,6.39,0.32,18.1,5,1,Bubble,0.9571448222101424
TIRE_0000110,2025-05-26 20:05,BATCH_00149,RCP_025,PRESS_09,MACH_01,Day Shift,18.16,70.65,17.52,119.17,175.49,2.11,18.43,1035.0,7.38,4.84,10.53,11.75,8.41,1.04,9.19,5,0,OK,0.1595915504386139
TIRE_0000113,2025-03-08 13:01,BATCH_00138,RCP_001,PRESS_01,MACH_01,Day Shift,24.98,49.3,18.05,114.95,180.11,1.96,19.07,883.0,7.75,5.17,10.71,10.96,8.89,1.02,13.11,4,0,OK,0.0894155259646358
TIRE_0000114,2025-01-08 15:46,BATCH_00256,RCP_005,PRESS_02,MACH_08,Evening Shift,23.9,68.99,16.28,138.39,174.95,1.37,16.99,948.0,8.28,5.65,11.72,8.28,4.04,0.83,18.4,4,0,OK,0.025254004068645673
TIRE_0000115,2025-02-26 10:14,BATCH_00088,RCP_010,PRESS_02,MACH_02,Evening Shift,24.73,58.81,29.96,125.75,181.35,2.46,18.45,1000.0,7.81,5.03,11.56,6.71,9.16,0.52,20.06,4,0,OK,0.08463575721175892
TIRE_0000116,2025-02-01 10:25,BATCH_00366,RCP_016,PRESS_09,MACH_07,Evening Shift,27.81,43.06,11.5,122.56,172.88,1.83,18.8,842.0,8.5,4.22,11.45,8.29,7.89,0.95,27.22,4,0,OK,0.08804399728641929
TIRE_0000117,2025-01-10 16:37,BATCH_00326,RCP_007,PRESS_10,MACH_08,Evening Shift,23.34,49.53,11.03,124.65,174.02,1.1,18.52,961.0,8.39,4.75,10.98,12.4,7.85,0.83,19.48,4,0,OK,0.18510548280113537
TIRE_0000118,2025-04-17 1:18,BATCH_00169,RCP_011,PRESS_04,MACH_05,Evening Shift,15.52,48.0,18.05,107.39,174.79,0.74,20.69,864.0,8.04,5.55,11.7,8.91,8.71,0.64,18.89,4,0,OK,0.16301379312525116
TIRE_0000119,2025-03-21 17:45,BATCH_00044,RCP_011,PRESS_12,MACH_06,Evening Shift,25.08,52.7,26.48,120.16,170.73,2.11,18.66,1046.0,7.52,4.9,10.71,13.86,8.33,1.1,11.38,4,1,UnderCure,0.9629310582183184
TIRE_0000120,2025-01-25 2:18,BATCH_00255,RCP_020,PRESS_07,MACH_03,Day Shift,26.8,34.83,14.72,118.49,174.32,2.3,20.31,955.0,7.57,5.2,11.38,7.13,7.04,0.69,20.7,5,0,OK,0.12333158203886782
TIRE_0000121,2025-02-02 18:57,BATCH_00372,RCP_020,PRESS_09,MACH_06,Night Shift,26.14,26.64,17.47,96.49,180.41,1.52,16.53,852.0,8.47,6.04,11.97,9.16,6.82,0.6,35.29,5,0,OK,0.038702619025192404
TIRE_0000122,2025-01-08 0:24,BATCH_00054,RCP_015,PRESS_05,MACH_05,Night Shift,26.28,62.43,18.71,100.08,172.02,2.27,17.36,837.0,7.15,5.09,10.58,8.05,7.41,0.47,21.07,4,0,OK,0.1811787489335188
TIRE_0000124,2025-03-25 14:24,BATCH_00331,RCP_017,PRESS_12,MACH_01,Evening Shift,25.2,64.15,11.81,131.76,172.08,2.22,17.67,1130.0,8.0,5.3,10.82,11.88,8.53,1.01,13.16,3,0,OK,0.19258841166805538
TIRE_0000125,2025-03-21 7:25,BATCH_00010,RCP_003,PRESS_05,MACH_01,Evening Shift,26.95,59.13,8.18,104.4,176.55,1.99,20.24,1056.0,7.07,5.3,11.53,6.55,6.65,0.55,17.16,5,0,OK,0.1447065274166791
TIRE_0000126,2025-01-18 15:03,BATCH_00374,RCP_012,PRESS_07,MACH_06,Evening Shift,22.98,64.87,23.04,119.93,173.37,2.61,17.5,1022.0,7.01,5.16,11.01,9.86,7.29,0.89,34.69,4,0,OK,0.19503212318909463
TIRE_0000127,2025-05-22 10:06,BATCH_00191,RCP_021,PRESS_05,MACH_07,Evening Shift,14.79,66.62,33.28,138.07,170.67,1.49,18.49,843.0,7.2,4.87,11.39,10.52,8.16,1.17,5.66,5,0,OK,0.12851094312745379
TIRE_0000128,2025-03-23 23:03,BATCH_00307,RCP_010,PRESS_09,MACH_02,Day Shift,25.74,40.53,16.22,117.96,176.57,1.66,19.22,1122.0,7.26,5.33,10.79,11.51,6.1,0.74,15.74,5,0,OK,0.13545587905167858
TIRE_0000129,2025-02-23 22:36,BATCH_00084,RCP_025,PRESS_07,MACH_01,Evening Shift,29.02,56.3,23.58,118.11,171.32,1.44,19.57,1072.0,8.21,5.49,11.43,8.25,8.16,0.71,20.33,4,0,OK,0.1126098444060519
TIRE_0000130,2025-04-20 14:46,BATCH_00371,RCP_011,PRESS_01,MACH_08,Night Shift,17.1,65.82,25.23,108.15,171.4,1.36,17.65,872.0,7.73,4.74,11.49,9.97,7.98,0.86,7.05,4,0,OK,0.016100590418582847
TIRE_0000131,2025-05-06 14:53,BATCH_00019,RCP_026,PRESS_03,MACH_08,Day Shift,17.08,50.97,9.06,86.2,175.81,2.11,19.31,849.0,7.98,5.79,12.27,11.73,8.36,0.66,26.36,4,0,OK,0.035893942478393066
TIRE_0000132,2025-05-17 2:24,BATCH_00334,RCP_025,PRESS_01,MACH_08,Evening Shift,15.32,47.36,24.21,140.0,175.97,1.87,18.1,1004.0,8.24,5.74,11.1,8.71,8.11,0.68,24.76,4,0,OK,0.01754300456481622
TIRE_0000133,2025-04-26 7:53,BATCH_00096,RCP_009,PRESS_09,MACH_01,Night Shift,18.34,70.34,11.08,110.06,180.79,1.78,18.31,955.0,8.23,6.15,11.66,10.78,4.89,0.76,29.78,4,0,OK,0.1627384987033073
TIRE_0000134,2025-01-16 20:59,BATCH_00146,RCP_026,PRESS_09,MACH_07,Night Shift,21.02,35.85,9.54,96.71,175.65,1.17,19.79,911.0,7.94,4.52,11.33,9.01,7.52,0.93,20.66,5,0,OK,0.0854454354583184
TIRE_0000135,2025-02-06 7:24,BATCH_00100,RCP_005,PRESS_04,MACH_04,Evening Shift,25.96,37.45,0.66,143.34,180.39,1.48,20.46,931.0,8.76,5.48,12.72,9.72,6.78,0.7,4.43,5,0,OK,0.13205696587952867
